Country code,Year,SeriesID,National currency,Value,SourceID,Access time
4,1995,7,Afghani (AFN),47.5,3,June 2023
4,2005,7,Afghani (AFN),50.4,3,June 2023
4,2010,7,Afghani (AFN),45.3,3,June 2023
4,2015,7,Afghani (AFN),68.1,3,June 2023
4,2019,7,Afghani (AFN),78.4,3,June 2023
4,2020,7,Afghani (AFN),77.1,3,June 2023
4,1995,8,,36.6,3,June 2023
4,2005,8,,49.5,3,June 2023
4,2010,8,,46.5,3,June 2023
4,2015,8,,61.1,3,June 2023
4,2019,8,,77.7,3,June 2023
4,2020,8,,76.8,3,June 2023
248,2005,7,Euro (EUR),0.8,3,June 2023
248,2010,7,Euro (EUR),0.7,3,June 2023
248,2015,7,Euro (EUR),0.9,3,June 2023
248,2019,7,Euro (EUR),0.9,3,June 2023
248,2020,7,Euro (EUR),0.8,3,June 2023
248,2021,7,Euro (EUR),0.9,3,June 2023
248,2022,7,Euro (EUR),0.9,3,June 2023
248,2005,8,,0.8,3,June 2023
248,2010,8,,0.8,3,June 2023
248,2015,8,,0.9,3,June 2023
248,2019,8,,0.9,3,June 2023
248,2020,8,,0.9,3,June 2023
248,2021,8,,0.8,3,June 2023
248,2022,8,,0.9,3,June 2023
8,1995,7,Lek (ALL),94.2,3,June 2023
8,2005,7,Lek (ALL),103.6,3,June 2023
8,2010,7,Lek (ALL),104.0,3,June 2023
8,2015,7,Lek (ALL),125.8,3,June 2023
8,2019,7,Lek (ALL),108.6,3,June 2023
8,2020,7,Lek (ALL),100.8,3,June 2023
8,2021,7,Lek (ALL),106.5,3,June 2023
8,2022,7,Lek (ALL),107.1,3,June 2023
8,1995,8,,92.7,3,June 2023
8,2005,8,,99.9,3,June 2023
8,2010,8,,103.9,3,June 2023
8,2015,8,,126.0,3,June 2023
8,2019,8,,109.9,3,June 2023
8,2020,8,,108.7,3,June 2023
8,2021,8,,103.5,3,June 2023
8,2022,8,,113.0,3,June 2023
12,1995,7,Algerian Dinar (DZD),52.2,3,June 2023
12,2005,7,Algerian Dinar (DZD),73.4,3,June 2023
12,2010,7,Algerian Dinar (DZD),74.9,3,June 2023
12,2015,7,Algerian Dinar (DZD),107.1,3,June 2023
12,2019,7,Algerian Dinar (DZD),119.2,3,June 2023
12,2020,7,Algerian Dinar (DZD),132.1,3,June 2023
12,2021,7,Algerian Dinar (DZD),138.8,3,June 2023
12,2022,7,Algerian Dinar (DZD),137.2,3,June 2023
12,1995,8,,47.7,3,June 2023
12,2005,8,,73.3,3,June 2023
12,2010,8,,74.4,3,June 2023
12,2015,8,,100.7,3,June 2023
12,2019,8,,119.4,3,June 2023
12,2020,8,,126.8,3,June 2023
12,2021,8,,135.1,3,June 2023
12,2022,8,,142.0,3,June 2023
20,2005,7,Euro (EUR),0.8,3,June 2023
20,2010,7,Euro (EUR),0.7,3,June 2023
20,2015,7,Euro (EUR),0.9,3,June 2023
20,2019,7,Euro (EUR),0.9,3,June 2023
20,2020,7,Euro (EUR),0.8,3,June 2023
20,2021,7,Euro (EUR),0.9,3,June 2023
20,2022,7,Euro (EUR),0.9,3,June 2023
