Country code,Year,SeriesID,Value,SourceID,Access time
4,2005,9,9.9,4,April 2023
4,2010,9,8.6,4,April 2023
4,2015,9,10.1,4,April 2023
4,2018,9,14.2,4,April 2023
4,2019,9,14.8,4,April 2023
4,2020,9,15.5,4,April 2023
4,2005,10,3.4,4,April 2023
4,2010,10,2.3,4,April 2023
4,2015,10,2.0,4,April 2023
4,2018,10,1.9,4,April 2023
4,2019,10,1.8,4,April 2023
4,2020,10,4.2,4,April 2023
8,2005,9,5.8,4,April 2023
8,2010,9,6.2,4,April 2023
8,2005,10,9.2,4,April 2023
8,2010,10,8.1,4,April 2023
8,2015,10,8.9,4,April 2023
8,2018,10,9.8,4,April 2023
8,2019,10,9.8,4,April 2023
8,2020,10,9.0,4,April 2023
12,2005,9,3.2,4,April 2023
12,2010,9,5.1,4,April 2023
12,2015,9,7.0,4,April 2023
12,2018,9,6.2,4,April 2023
12,2019,9,6.3,4,April 2023
12,2020,9,6.3,4,April 2023
12,2005,10,8.3,4,April 2023
12,2010,10,9.5,4,April 2023
12,2015,10,10.7,4,April 2023
12,2018,10,10.7,4,April 2023
12,2019,10,10.7,4,April 2023
12,2020,10,10.7,4,April 2023
20,2005,9,5.6,4,April 2023
20,2010,9,7.9,4,April 2023
20,2015,9,7.0,4,April 2023
20,2018,9,7.4,4,April 2023
20,2019,9,7.4,4,April 2023
20,2020,9,9.1,4,April 2023
20,2005,10,18.8,4,April 2023
20,2010,10,25.4,4,April 2023
20,2015,10,16.1,4,April 2023
20,2018,10,14.7,4,April 2023
20,2019,10,14.9,4,April 2023
20,2020,10,15.2,4,April 2023
24,2005,9,2.9,4,April 2023
24,2010,9,2.7,4,April 2023
24,2015,9,2.6,4,April 2023
24,2018,9,2.6,4,April 2023
24,2019,9,2.7,4,April 2023
24,2020,9,2.9,4,April 2023
24,2005,10,4.8,4,April 2023
24,2010,10,4.2,4,April 2023
24,2015,10,4.6,4,April 2023
24,2018,10,5.4,4,April 2023
24,2019,10,5.4,4,April 2023
24,2020,10,5.4,4,April 2023
28,2005,9,5.0,4,April 2023
28,2010,9,5.4,4,April 2023
28,2015,9,5.3,4,April 2023
28,2018,9,4.8,4,April 2023
28,2019,9,4.4,4,April 2023
28,2020,9,5.6,4,April 2023
28,2005,10,11.5,4,April 2023
28,2010,10,13.9,4,April 2023
28,2015,10,11.8,4,April 2023
28,2018,10,13.1,4,April 2023
28,2019,10,11.3,4,April 2023
28,2020,10,12.6,4,April 2023
32,2005,9,7.6,4,April 2023
32,2010,9,9.4,4,April 2023
32,2015,9,10.2,4,April 2023
32,2018,9,9.5,4,April 2023
32,2019,9,9.5,4,April 2023
32,2020,9,10.0,4,April 2023
32,2005,10,16.0,4,April 2023
32,2010,10,16.7,4,April 2023
32,2015,10,16.5,4,April 2023
32,2018,10,15.3,4,April 2023
32,2019,10,16.1,4,April 2023
32,2020,10,15.7,4,April 2023
