Country code,Year,SeriesID,Value,SourceID,Access time
4,2005,14,1.2,6,March 2023
4,2010,14,4.0,6,March 2023
4,2015,14,8.3,6,March 2023
4,2019,14,17.6,6,March 2023
4,2020,14,18.4,6,March 2023
8,2000,14,0.1,6,March 2023
8,2005,14,6.0,6,March 2023
8,2010,14,45.0,6,March 2023
8,2015,14,56.9,6,March 2023
8,2019,14,68.6,6,March 2023
8,2020,14,72.2,6,March 2023
8,2021,14,79.3,6,March 2023
12,2000,14,0.5,6,March 2023
12,2005,14,5.8,6,March 2023
12,2010,14,12.5,6,March 2023
12,2015,14,38.2,6,March 2023
12,2019,14,59.0,6,March 2023
12,2020,14,64.0,6,March 2023
12,2021,14,70.8,6,March 2023
20,2000,14,10.5,6,March 2023
20,2005,14,37.6,6,March 2023
20,2010,14,81.0,6,March 2023
20,2015,14,87.9,6,March 2023
20,2019,14,90.7,6,March 2023
20,2020,14,93.2,6,March 2023
20,2021,14,93.9,6,March 2023
24,2000,14,0.1,6,March 2023
24,2005,14,1.1,6,March 2023
24,2010,14,2.8,6,March 2023
24,2015,14,22.0,6,March 2023
24,2019,14,32.1,6,March 2023
24,2020,14,32.6,6,March 2023
24,2021,14,32.6,6,March 2023
660,2000,14,22.4,6,March 2023
660,2005,14,29.0,6,March 2023
660,2010,14,49.6,6,March 2023
660,2015,14,76.0,6,March 2023
28,2000,14,6.5,6,March 2023
28,2005,14,27.0,6,March 2023
28,2010,14,47.0,6,March 2023
28,2015,14,70.0,6,March 2023
28,2019,14,95.7,6,March 2023
28,2020,14,95.7,6,March 2023
28,2021,14,95.7,6,March 2023
32,2000,14,7.0,6,March 2023
32,2005,14,17.7,6,March 2023
32,2010,14,45.0,6,March 2023
32,2015,14,68.0,6,March 2023
32,2019,14,79.9,6,March 2023
32,2020,14,85.5,6,March 2023
32,2021,14,87.2,6,March 2023
51,2000,14,1.3,6,March 2023
51,2005,14,5.3,6,March 2023
51,2010,14,25.0,6,March 2023
51,2015,14,59.1,6,March 2023
51,2019,14,66.5,6,March 2023
51,2020,14,76.5,6,March 2023
51,2021,14,78.6,6,March 2023
533,2000,14,15.4,6,March 2023
533,2005,14,25.4,6,March 2023
533,2010,14,62.0,6,March 2023
533,2015,14,88.7,6,March 2023
36,2000,14,46.8,6,March 2023
36,2005,14,63.0,6,March 2023
36,2010,14,76.0,6,March 2023
36,2015,14,84.6,6,March 2023
36,2019,14,93.6,6,March 2023
36,2020,14,96.4,6,March 2023
36,2021,14,96.2,6,March 2023
40,2000,14,33.7,6,March 2023
40,2005,14,58.0,6,March 2023
40,2010,14,75.2,6,March 2023
40,2015,14,83.9,6,March 2023
40,2019,14,87.8,6,March 2023
40,2020,14,87.5,6,March 2023
40,2021,14,92.5,6,March 2023
31,2000,14,0.1,6,March 2023
31,2005,14,8.0,6,March 2023
31,2010,14,46.0,6,March 2023
31,2015,14,77.0,6,March 2023
31,2019,14,81.1,6,March 2023
31,2020,14,84.6,6,March 2023
31,2021,14,86.0,6,March 2023
44,2000,14,8.0,6,March 2023
44,2005,14,25.0,6,March 2023
44,2010,14,43.0,6,March 2023
44,2015,14,78.0,6,March 2023
44,2019,14,90.7,6,March 2023
44,2020,14,92.5,6,March 2023
44,2021,14,94.3,6,March 2023
48,2000,14,6.2,6,March 2023
48,2005,14,21.3,6,March 2023
48,2010,14,55.0,6,March 2023
48,2015,14,93.5,6,March 2023
48,2019,14,99.7,6,March 2023
48,2020,14,99.7,6,March 2023
48,2021,14,100.0,6,March 2023
50,2000,14,0.1,6,March 2023
50,2005,14,0.2,6,March 2023
50,2010,14,3.7,6,March 2023
50,2015,14,12.9,6,March 2023
50,2019,14,27.8,6,March 2023
50,2020,14,32.9,6,March 2023
50,2021,14,38.9,6,March 2023
52,2000,14,4.0,6,March 2023
52,2005,14,52.5,6,March 2023
52,2010,14,65.1,6,March 2023
52,2015,14,76.1,6,March 2023
52,2019,14,83.2,6,March 2023
52,2020,14,82.5,6,March 2023
52,2021,14,85.8,6,March 2023
112,2000,14,1.9,6,March 2023
112,2010,14,31.8,6,March 2023
112,2015,14,62.2,6,March 2023
112,2019,14,82.8,6,March 2023
112,2020,14,85.1,6,March 2023
112,2021,14,86.9,6,March 2023
56,2000,14,29.4,6,March 2023
56,2005,14,55.8,6,March 2023
56,2010,14,75.0,6,March 2023
56,2015,14,85.1,6,March 2023
56,2019,14,90.3,6,March 2023
56,2020,14,91.5,6,March 2023
56,2021,14,92.8,6,March 2023
84,2000,14,6.0,6,March 2023
84,2005,14,17.0,6,March 2023
84,2010,14,28.2,6,March 2023
84,2015,14,41.6,6,March 2023
84,2019,14,57.1,6,March 2023
84,2020,14,59.5,6,March 2023
84,2021,14,62.0,6,March 2023
204,2000,14,0.2,6,March 2023
204,2005,14,1.3,6,March 2023
204,2010,14,3.1,6,March 2023
204,2015,14,11.3,6,March 2023
204,2019,14,22.4,6,March 2023
204,2020,14,28.2,6,March 2023
204,2021,14,34.0,6,March 2023
60,2000,14,42.9,6,March 2023
60,2005,14,65.4,6,March 2023
60,2010,14,84.2,6,March 2023
60,2015,14,98.3,6,March 2023
64,2000,14,0.4,6,March 2023
64,2005,14,3.8,6,March 2023
64,2010,14,13.6,6,March 2023
64,2015,14,39.8,6,March 2023
64,2019,14,74.2,6,March 2023
64,2020,14,79.9,6,March 2023
64,2021,14,85.6,6,March 2023
68,2000,14,1.4,6,March 2023
68,2005,14,5.2,6,March 2023
68,2010,14,22.4,6,March 2023
68,2015,14,37.5,6,March 2023
68,2019,14,47.5,6,March 2023
68,2020,14,59.9,6,March 2023
68,2021,14,66.0,6,March 2023
70,2000,14,1.1,6,March 2023
70,2005,14,21.3,6,March 2023
70,2010,14,42.8,6,March 2023
70,2015,14,52.6,6,March 2023
70,2019,14,69.9,6,March 2023
70,2020,14,73.2,6,March 2023
70,2021,14,75.7,6,March 2023
72,2000,14,2.9,6,March 2023
72,2005,14,3.3,6,March 2023
72,2010,14,6.0,6,March 2023
72,2015,14,37.3,6,March 2023
72,2019,14,64.8,6,March 2023
72,2020,14,72.7,6,March 2023
72,2021,14,73.5,6,March 2023
76,2000,14,2.9,6,March 2023
76,2005,14,21.0,6,March 2023
76,2010,14,40.7,6,March 2023
76,2015,14,58.3,6,March 2023
76,2019,14,73.9,6,March 2023
76,2020,14,81.3,6,March 2023
76,2021,14,80.7,6,March 2023
92,2010,14,37.0,6,March 2023
96,2000,14,9.0,6,March 2023
96,2005,14,36.5,6,March 2023
96,2010,14,53.0,6,March 2023
96,2015,14,71.2,6,March 2023
96,2019,14,95.0,6,March 2023
96,2020,14,96.1,6,March 2023
96,2021,14,98.1,6,March 2023
100,2000,14,5.4,6,March 2023
100,2005,14,20.0,6,March 2023
100,2010,14,46.2,6,March 2023
100,2015,14,56.7,6,March 2023
100,2019,14,67.9,6,March 2023
100,2020,14,70.2,6,March 2023
100,2021,14,75.3,6,March 2023
854,2000,14,0.1,6,March 2023
854,2005,14,0.5,6,March 2023
854,2010,14,2.4,6,March 2023
854,2015,14,6.6,6,March 2023
854,2019,14,9.3,6,March 2023
854,2020,14,13.9,6,March 2023
854,2021,14,21.6,6,March 2023
108,2000,14,0.1,6,March 2023
108,2005,14,0.5,6,March 2023
108,2010,14,1.0,6,March 2023
108,2015,14,2.0,6,March 2023
108,2019,14,2.7,6,March 2023
108,2020,14,3.8,6,March 2023
108,2021,14,5.8,6,March 2023
132,2000,14,1.8,6,March 2023
132,2005,14,6.1,6,March 2023
132,2010,14,30.0,6,March 2023
132,2015,14,42.7,6,March 2023
132,2019,14,61.9,6,March 2023
132,2020,14,63.2,6,March 2023
132,2021,14,69.8,6,March 2023
116,2000,14,0.0,6,March 2023
116,2005,14,0.3,6,March 2023
116,2010,14,1.3,6,March 2023
116,2015,14,18.0,6,March 2023
116,2019,14,52.3,6,March 2023
116,2020,14,53.7,6,March 2023
116,2021,14,60.2,6,March 2023
120,2000,14,0.3,6,March 2023
120,2005,14,1.4,6,March 2023
120,2010,14,4.3,6,March 2023
120,2015,14,18.3,6,March 2023
120,2019,14,36.5,6,March 2023
120,2020,14,45.5,6,March 2023
120,2021,14,45.6,6,March 2023
124,2000,14,51.3,6,March 2023
124,2005,14,71.7,6,March 2023
124,2010,14,80.3,6,March 2023
124,2015,14,90.0,6,March 2023
124,2019,14,91.9,6,March 2023
124,2020,14,92.3,6,March 2023
124,2021,14,92.8,6,March 2023
136,2005,14,38.0,6,March 2023
136,2010,14,66.0,6,March 2023
136,2015,14,77.0,6,March 2023
140,2000,14,0.1,6,March 2023
140,2005,14,0.3,6,March 2023
140,2010,14,2.0,6,March 2023
140,2015,14,2.9,6,March 2023
140,2019,14,7.5,6,March 2023
140,2020,14,8.6,6,March 2023
140,2021,14,10.6,6,March 2023
148,2000,14,0.0,6,March 2023
148,2005,14,0.4,6,March 2023
148,2010,14,1.7,6,March 2023
148,2015,14,3.5,6,March 2023
148,2019,14,8.4,6,March 2023
148,2020,14,11.7,6,March 2023
148,2021,14,17.9,6,March 2023
152,2000,14,16.6,6,March 2023
152,2005,14,31.2,6,March 2023
152,2010,14,45.0,6,March 2023
152,2015,14,76.6,6,March 2023
152,2019,14,85.0,6,March 2023
152,2020,14,86.4,6,March 2023
152,2021,14,90.2,6,March 2023
156,2000,14,1.8,6,March 2023
156,2005,14,8.5,6,March 2023
156,2010,14,34.3,6,March 2023
156,2015,14,50.3,6,March 2023
156,2019,14,64.1,6,March 2023
156,2020,14,70.1,6,March 2023
156,2021,14,73.1,6,March 2023
344,2000,14,27.8,6,March 2023
344,2005,14,56.9,6,March 2023
344,2010,14,72.0,6,March 2023
344,2015,14,84.9,6,March 2023
344,2019,14,91.7,6,March 2023
344,2020,14,92.4,6,March 2023
344,2021,14,93.1,6,March 2023
446,2000,14,13.6,6,March 2023
446,2005,14,34.9,6,March 2023
446,2010,14,55.2,6,March 2023
446,2015,14,77.6,6,March 2023
446,2019,14,86.5,6,March 2023
446,2020,14,88.3,6,March 2023
446,2021,14,88.5,6,March 2023
170,2000,14,2.2,6,March 2023
170,2005,14,11.0,6,March 2023
170,2010,14,36.5,6,March 2023
170,2015,14,55.9,6,March 2023
170,2019,14,65.0,6,March 2023
170,2020,14,70.9,6,March 2023
170,2021,14,73.0,6,March 2023
174,2000,14,0.3,6,March 2023
174,2005,14,2.0,6,March 2023
174,2010,14,5.1,6,March 2023
174,2015,14,7.5,6,March 2023
174,2019,14,16.4,6,March 2023
174,2020,14,21.2,6,March 2023
174,2021,14,27.3,6,March 2023
178,2000,14,0.0,6,March 2023
178,2005,14,1.5,6,March 2023
178,2010,14,5.0,6,March 2023
178,2015,14,7.6,6,March 2023
184,2000,14,15.7,6,March 2023
184,2005,14,26.2,6,March 2023
184,2010,14,35.7,6,March 2023
184,2015,14,51.0,6,March 2023
188,2000,14,5.8,6,March 2023
188,2005,14,22.1,6,March 2023
188,2010,14,36.5,6,March 2023
188,2015,14,59.8,6,March 2023
188,2019,14,81.2,6,March 2023
188,2020,14,80.5,6,March 2023
188,2021,14,82.8,6,March 2023
384,2000,14,0.2,6,March 2023
384,2005,14,1.0,6,March 2023
384,2010,14,2.7,6,March 2023
384,2015,14,16.7,6,March 2023
384,2019,14,36.3,6,March 2023
384,2020,14,41.4,6,March 2023
384,2021,14,45.4,6,March 2023
191,2000,14,6.6,6,March 2023
191,2005,14,33.1,6,March 2023
191,2010,14,56.6,6,March 2023
191,2015,14,69.8,6,March 2023
191,2019,14,79.1,6,March 2023
191,2020,14,78.3,6,March 2023
191,2021,14,81.3,6,March 2023
192,2000,14,0.5,6,March 2023
192,2005,14,9.7,6,March 2023
192,2010,14,15.9,6,March 2023
192,2015,14,37.3,6,March 2023
192,2019,14,68.0,6,March 2023
192,2020,14,71.1,6,March 2023
192,2021,14,71.1,6,March 2023
196,2000,14,15.3,6,March 2023
196,2005,14,32.8,6,March 2023
196,2010,14,53.0,6,March 2023
196,2015,14,71.7,6,March 2023
196,2019,14,86.1,6,March 2023
196,2020,14,90.8,6,March 2023
196,2021,14,90.8,6,March 2023
203,2000,14,9.8,6,March 2023
203,2005,14,35.3,6,March 2023
203,2010,14,68.8,6,March 2023
203,2015,14,75.7,6,March 2023
203,2019,14,80.9,6,March 2023
203,2020,14,81.3,6,March 2023
203,2021,14,82.7,6,March 2023
408,2000,14,0.0,6,March 2023
408,2005,14,0.0,6,March 2023
408,2010,14,0.0,6,March 2023
180,2000,14,0.0,6,March 2023
180,2005,14,0.2,6,March 2023
180,2010,14,0.7,6,March 2023
180,2015,14,3.8,6,March 2023
180,2019,14,16.5,6,March 2023
180,2020,14,22.9,6,March 2023
180,2021,14,22.9,6,March 2023
208,2000,14,39.2,6,March 2023
208,2005,14,82.7,6,March 2023
208,2010,14,88.7,6,March 2023
208,2015,14,96.3,6,March 2023
208,2019,14,98.0,6,March 2023
208,2020,14,96.5,6,March 2023
208,2021,14,98.9,6,March 2023
262,2000,14,0.2,6,March 2023
262,2005,14,1.0,6,March 2023
262,2010,14,6.5,6,March 2023
262,2015,14,22.9,6,March 2023
262,2019,14,59.3,6,March 2023
262,2020,14,61.3,6,March 2023
262,2021,14,68.9,6,March 2023
212,2000,14,8.8,6,March 2023
212,2005,14,38.5,6,March 2023
212,2010,14,47.5,6,March 2023
212,2015,14,65.0,6,March 2023
212,2019,14,73.4,6,March 2023
212,2020,14,77.1,6,March 2023
212,2021,14,80.9,6,March 2023
214,2000,14,3.7,6,March 2023
214,2005,14,11.5,6,March 2023
214,2010,14,31.4,6,March 2023
214,2015,14,54.2,6,March 2023
214,2019,14,79.7,6,March 2023
214,2020,14,82.2,6,March 2023
214,2021,14,85.2,6,March 2023
218,2000,14,1.5,6,March 2023
218,2005,14,6.0,6,March 2023
218,2010,14,29.0,6,March 2023
218,2015,14,48.9,6,March 2023
218,2019,14,59.2,6,March 2023
218,2020,14,70.7,6,March 2023
218,2021,14,76.2,6,March 2023
818,2000,14,0.6,6,March 2023
818,2005,14,12.8,6,March 2023
818,2010,14,21.6,6,March 2023
818,2015,14,37.8,6,March 2023
818,2019,14,57.3,6,March 2023
818,2020,14,71.9,6,March 2023
818,2021,14,72.1,6,March 2023
222,2000,14,1.2,6,March 2023
222,2005,14,4.2,6,March 2023
222,2010,14,15.9,6,March 2023
222,2015,14,26.8,6,March 2023
222,2019,14,50.5,6,March 2023
222,2020,14,54.6,6,March 2023
222,2021,14,62.9,6,March 2023
226,2000,14,0.1,6,March 2023
226,2005,14,1.1,6,March 2023
226,2010,14,6.0,6,March 2023
226,2015,14,21.3,6,March 2023
226,2019,14,49.1,6,March 2023
226,2020,14,53.8,6,March 2023
226,2021,14,53.9,6,March 2023
232,2000,14,0.1,6,March 2023
232,2010,14,0.6,6,March 2023
232,2015,14,1.1,6,March 2023
232,2019,14,8.8,6,March 2023
232,2020,14,14.2,6,March 2023
232,2021,14,21.7,6,March 2023
233,2000,14,28.6,6,March 2023
233,2005,14,61.5,6,March 2023
233,2010,14,74.1,6,March 2023
233,2015,14,88.4,6,March 2023
233,2019,14,90.2,6,March 2023
233,2020,14,89.1,6,March 2023
233,2021,14,91.0,6,March 2023
748,2000,14,0.9,6,March 2023
748,2005,14,3.7,6,March 2023
748,2010,14,11.0,6,March 2023
748,2015,14,25.6,6,March 2023
748,2019,14,54.0,6,March 2023
