Country code,Year,SeriesID,Value,SourceID,Access time
4,2010,20,147,8,December 2022
4,2019,20,85,8,December 2022
4,2020,20,75,8,December 2022
8,2010,19,2191,8,December 2022
8,2019,19,6128,8,December 2022
8,2020,19,2604,8,December 2022
8,2021,19,5515,8,December 2022
8,1995,20,70,8,December 2022
8,2005,20,880,8,December 2022
8,2010,20,1778,8,December 2022
8,2019,20,2458,8,December 2022
8,2020,20,1243,8,December 2022
8,2021,20,2480,8,December 2022
12,1995,19,520,8,December 2022
12,2005,19,1443,8,December 2022
12,2010,19,2070,8,December 2022
12,2019,19,2371,8,December 2022
12,2020,19,591,8,December 2022
12,2021,19,125,8,December 2022
12,2005,20,477,8,December 2022
12,2010,20,324,8,December 2022
12,2019,20,140,8,December 2022
12,2020,20,50,8,December 2022
12,2021,20,83,8,December 2022
16,1995,19,34,8,December 2022
16,2005,19,25,8,December 2022
16,2010,19,23,8,December 2022
16,2019,19,19,8,December 2022
16,2020,19,1,8,December 2022
20,2005,19,2418,8,December 2022
20,2010,19,1808,8,December 2022
20,2019,19,3090,8,December 2022
20,2020,19,1872,8,December 2022
20,2021,19,1949,8,December 2022
20,2019,20,1910,8,December 2022
20,2020,20,1351,8,December 2022
24,1995,19,9,8,December 2022
24,2005,19,210,8,December 2022
24,2010,19,425,8,December 2022
24,2019,19,218,8,December 2022
24,2020,19,64,8,December 2022
24,2021,19,64,8,December 2022
24,1995,20,27,8,December 2022
24,2005,20,103,8,December 2022
24,2010,20,726,8,December 2022
24,2019,20,395,8,December 2022
24,2020,20,19,8,December 2022
24,2021,20,23,8,December 2022
660,1995,19,39,8,December 2022
660,2005,19,62,8,December 2022
660,2010,19,62,8,December 2022
660,2019,19,95,8,December 2022
660,2020,19,25,8,December 2022
660,2021,19,28,8,December 2022
660,1995,20,50,8,December 2022
660,2005,20,86,8,December 2022
660,2010,20,99,8,December 2022
660,2019,20,168,8,December 2022
660,2020,20,47,8,December 2022
660,2021,20,62,8,December 2022
28,1995,19,220,8,December 2022
28,2005,19,245,8,December 2022
28,2010,19,230,8,December 2022
28,2019,19,301,8,December 2022
28,2020,19,125,8,December 2022
28,2021,19,169,8,December 2022
28,1995,20,247,8,December 2022
28,2005,20,309,8,December 2022
28,2010,20,298,8,December 2022
28,2019,20,904,8,December 2022
28,2020,20,412,8,December 2022
28,2021,20,546,8,December 2022
32,1995,19,2289,8,December 2022
32,2005,19,3823,8,December 2022
32,2010,19,6800,8,December 2022
32,2019,19,7399,8,December 2022
32,2020,19,2090,8,December 2022
32,2021,19,297,8,December 2022
32,1995,20,2550,8,December 2022
32,2005,20,3209,8,December 2022
32,2010,20,5605,8,December 2022
32,2019,20,5654,8,December 2022
32,2020,20,1794,8,December 2022
32,2021,20,445,8,December 2022
51,1995,19,12,8,December 2022
51,2005,19,319,8,December 2022
51,2010,19,684,8,December 2022
51,2019,19,1894,8,December 2022
51,2020,19,375,8,December 2022
51,2021,19,870,8,December 2022
51,1995,20,14,8,December 2022
51,2005,20,243,8,December 2022
51,2010,20,694,8,December 2022
51,2019,20,1553,8,December 2022
51,2020,20,297,8,December 2022
51,2021,20,813,8,December 2022
533,1995,19,619,8,December 2022
533,2005,19,733,8,December 2022
533,2010,19,824,8,December 2022
533,2019,19,1119,8,December 2022
533,2020,19,368,8,December 2022
533,2021,19,807,8,December 2022
533,1995,20,554,8,December 2022
533,2005,20,1097,8,December 2022
533,2010,20,1254,8,December 2022
533,2019,20,2109,8,December 2022
533,2020,20,1079,8,December 2022
533,2021,20,1788,8,December 2022
36,1995,19,3726,8,December 2022
36,2005,19,5499,8,December 2022
36,2010,19,5790,8,December 2022
36,2019,19,9466,8,December 2022
36,2020,19,1828,8,December 2022
36,2021,19,246,8,December 2022
36,1995,20,10370,8,December 2022
36,2005,20,19719,8,December 2022
36,2010,20,31064,8,December 2022
36,2019,20,47953,8,December 2022
36,2020,20,26235,8,December 2022
36,2021,20,17132,8,December 2022
40,1995,19,17173,8,December 2022
40,2005,19,19952,8,December 2022
40,2010,19,22004,8,December 2022
40,2019,19,31884,8,December 2022
40,2020,19,15091,8,December 2022
40,2021,19,12728,8,December 2022
40,1995,20,13435,8,December 2022
40,2005,20,16243,8,December 2022
40,2010,20,18751,8,December 2022
40,2019,20,22983,8,December 2022
40,2020,20,13706,8,December 2022
40,2021,20,9841,8,December 2022
31,2005,19,693,8,December 2022
31,2010,19,1280,8,December 2022
31,2019,19,2876,8,December 2022
31,2020,19,587,8,December 2022
31,1995,20,87,8,December 2022
31,2005,20,100,8,December 2022
31,2010,20,792,8,December 2022
31,2019,20,2004,8,December 2022
31,2020,20,340,8,December 2022
31,2021,20,368,8,December 2022
44,1995,19,1598,8,December 2022
44,2005,19,1625,8,December 2022
44,2010,19,1378,8,December 2022
44,2019,19,1807,8,December 2022
44,2020,19,441,8,December 2022
44,2021,19,891,8,December 2022
44,1995,20,1356,8,December 2022
44,2005,20,2081,8,December 2022
44,2010,20,2159,8,December 2022
44,2019,20,4150,8,December 2022
44,2020,20,972,8,December 2022
44,2021,20,2334,8,December 2022
48,1995,19,2311,8,December 2022
48,2005,19,6313,8,December 2022
48,2010,19,11952,8,December 2022
48,2019,19,11061,8,December 2022
48,2020,19,1909,8,December 2022
48,2021,19,3612,8,December 2022
48,1995,20,593,8,December 2022
48,2005,20,1603,8,December 2022
48,2010,20,2163,8,December 2022
48,2019,20,3860,8,December 2022
48,2020,20,724,8,December 2022
48,2021,20,1886,8,December 2022
50,1995,19,156,8,December 2022
